概念板块,代码,名称,现价,涨跌%,成交额(亿),换手%,板块总成交额(亿)
电网概念,002074,国轩高科,2.58,+1.78%,53.588,7.89,1217.9
电网概念,000070,特发信息,14.42,+6.78%,38.035,20.98,1217.9
电网概念,300166,东方国信,13.47,+6.99%,36.815,24.04,1217.9
OLED,002384,东山精密,4.23,+2.28%,159.576,7.83,1202.7
OLED,300476,胜宏科技,5.86,+2.89%,134.213,5.26,1202.7
OLED,600522,中天科技,4.36,-4.30%,62.144,6.35,1202.7
OLED,300395,菲利华,9.14,+7.67%,46.816,8.49,1202.7
OLED,603629,利通电子,12.71,+0.00%,39.389,20.51,1202.7
DeepSeek概念,000988,华工科技,8.92,+7.97%,134.517,11.12,1168.3
DeepSeek概念,688041,海光信息,7.21,+5.79%,105.753,1.84,1168.3
DeepSeek概念,603019,中科曙光,6.91,+4.33%,62.232,4.79,1168.3
DeepSeek概念,000938,紫光股份,6.72,+4.25%,60.714,7.6,1168.3
DeepSeek概念,600176,中国巨石,10.69,+10.00%,37.685,3.02,1168.3
低空经济,300014,亿纬锂能,4.5,+1.36%,60.176,4.14,1162.4
低空经济,002074,国轩高科,2.58,+1.78%,53.588,7.89,1162.4
低空经济,002436,兴森科技,11.68,+9.98%,49.473,13.52,1162.4
低空经济,002361,神剑股份,7.28,+1.27%,48.141,35.44,1162.4
低空经济,000063,中兴通讯,2.51,-0.20%,32.855,2.28,1162.4
茅指数,300750,宁德时代,4.17,+2.68%,176.255,0.97,1122.0
茅指数,002475,立讯精密,3.47,+0.72%,139.585,3.29,1122.0
茅指数,300274,阳光电源,5.57,+2.64%,113.826,5.35,1122.0
茅指数,300059,东方财富,3.8,+1.27%,69.050,2.59,1122.0
茅指数,002594,比亚迪,4.11,+2.54%,68.871,1.9,1122.0
AI眼镜,002475,立讯精密,3.47,+0.72%,139.585,3.29,1110.6
AI眼镜,603986,兆易创新,3.37,-1.11%,108.962,6.18,1110.6
AI眼镜,688525,佰维存储,7.85,+5.94%,100.326,8.44,1110.6
AI眼镜,301308,江波龙,5.39,+3.87%,65.379,6.82,1110.6
AI眼镜,688521,芯原股份,7.66,-3.56%,56.181,4.37,1110.6
人形机器人,300476,胜宏科技,5.86,+2.89%,134.213,5.26,1104.3
人形机器人,002460,赣锋锂业,3.92,+0.48%,85.464,8.34,1104.3
人形机器人,002273,水晶光电,5.92,+1.31%,26.739,6.41,1104.3
人形机器人,300433,蓝思科技,2.26,-1.39%,22.692,1.54,1104.3
人形机器人,600673,东阳光,5.12,+2.10%,19.264,1.99,1104.3
智能穿戴,002475,立讯精密,3.47,+0.72%,139.585,3.29,1051.1
智能穿戴,603986,兆易创新,3.37,-1.11%,108.962,6.18,1051.1
智能穿戴,688525,佰维存储,7.85,+5.94%,100.326,8.44,1051.1
智能穿戴,002432,九安医疗,6.33,-7.35%,33.975,8.85,1051.1
智能穿戴,000063,中兴通讯,2.51,-0.20%,32.855,2.28,1051.1
锂矿概念,300750,宁德时代,4.17,+2.68%,176.255,0.97,1037.3
锂矿概念,002460,赣锋锂业,3.92,+0.48%,85.464,8.34,1037.3
锂矿概念,300390,天华新能,18.18,+17.42%,83.558,16.55,1037.3
锂矿概念,300014,亿纬锂能,4.5,+1.36%,60.176,4.14,1037.3
锂矿概念,601899,紫金矿业,1.45,-0.27%,59.217,0.86,1037.3
互联网金融,300059,东方财富,3.8,+1.27%,69.050,2.59,1036.2
互联网金融,600030,中信证券,3.05,+0.73%,55.912,1.77,1036.2
互联网金融,002436,兴森科技,11.68,+9.98%,49.473,13.52,1036.2
互联网金融,002558,巨人网络,12.7,-8.80%,48.321,7.92,1036.2
互联网金融,300033,同花顺,6.86,+2.78%,42.152,4.1,1036.2
股权激励,688525,佰维存储,7.85,+5.94%,100.326,8.44,1031.6
股权激励,300017,网宿科技,6.7,+2.19%,44.381,10.6,1031.6
股权激励,600276,恒瑞医药,2.86,-3.26%,44.316,1.25,1031.6
股权激励,603083,剑桥科技,7.25,+2.01%,43.345,13.61,1031.6
股权激励,300620,光库科技,3.09,-2.63%,39.796,7.13,1031.6
反内卷概念,002460,赣锋锂业,3.92,+0.48%,85.464,8.34,1026.4
反内卷概念,300390,天华新能,18.18,+17.42%,83.558,16.55,1026.4
反内卷概念,600010,包钢股份,6.36,+5.30%,66.273,7.11,1026.4
反内卷概念,002466,天齐锂业,5.1,+4.12%,47.182,5.21,1026.4
反内卷概念,002738,中矿资源,6.21,+6.64%,40.937,7.08,1026.4
