代码,名称,数据日期,综合得分,回调深度,收盘价,MA5,MA10,MA20,MA60,RSI6,RSI14,MACD柱,KDJ_K,KDJ_D,KDJ_J,量/MA20量,近10日涨幅%,近20日涨幅%,ATR,BIAS5,详细理由
300468,四方精创,2026-04-13,11.5,中回调,32.86,31.55,30.63,32.68,34.11,76.7,46.1,0.172,52.8,38.0,82.5,1.28,2.3,-8.5,2.09,4.2,小幅涨:近10日+2% | 回调至MA20(32.68):+0.6% | MACD红柱(已启动) | RSI14=46(回升区) | KDJ金叉(K=53) | 乖离正常:BIAS20=0.6% | 量能健康(1.3xMA20) | 量开始放大
300991,创益通,2026-04-13,11.5,中回调,51.38,51.91,49.83,51.64,49.81,67.8,54.3,0.1852,64.4,55.8,81.5,1.53,4.8,-13.6,3.2,-1.0,小幅涨:近10日+5% | 回调至MA20(51.64):-0.5% | MACD红柱(已启动) | RSI14=54(回升区) | KDJ金叉(K=64) | 乖离正常:BIAS20=-0.5% | 量能健康(1.5xMA20) | 量开始放大
600623,华谊集团,2026-04-13,11.5,中回调,10.15,9.88,9.7,10.0,9.79,63.6,51.1,-0.0117,62.7,45.7,96.5,1.04,2.0,-12.6,0.46,2.8,小幅涨:近10日+2% | 回调至MA20(10.00):+1.5% | MACD绿柱收窄(-0.0117) | RSI14=51(回升区) | KDJ金叉(K=63) | 乖离正常:BIAS20=1.5% | 量能健康(1.0xMA20) | 量开始放大
605377,华旺科技,2026-04-13,11.5,中回调,9.61,9.7,9.52,9.58,9.16,53.6,53.6,0.0069,61.5,57.4,69.5,0.75,6.4,-5.6,0.41,-0.9,上涨:近10日+6% | 回调至MA20(9.58):+0.3% | MACD红柱(已启动) | RSI14=54(回升区) | KDJ金叉(K=61) | 乖离正常:BIAS20=0.3% | 量能健康(0.8xMA20)
605296,神农集团,2026-04-13,11.5,中回调,29.25,28.71,28.26,29.05,28.66,57.8,48.4,-0.0079,66.1,51.3,95.7,1.06,3.0,-3.2,1.3,1.9,小幅涨:近10日+3% | 回调至MA20(29.05):+0.7% | MACD绿柱收窄(-0.0079) | RSI14=48(回升区) | KDJ金叉(K=66) | 乖离正常:BIAS20=0.7% | 量能健康(1.1xMA20) | 量开始放大
688061,灿瑞科技,2026-04-13,11.5,中回调,31.88,30.86,30.3,31.6,34.52,84.1,50.6,0.2209,65.3,45.3,105.4,0.82,4.3,-6.8,1.24,3.3,小幅涨:近10日+4% | 回调至MA20(31.60):+0.9% | MACD红柱(已启动) | RSI14=51(回升区) | KDJ金叉(K=65) | 乖离正常:BIAS20=0.9% | 量能健康(0.8xMA20) | 量开始放大
688292,浩瀚深度,2026-04-13,11.5,中回调,24.17,24.04,23.69,23.99,28.16,67.1,58.8,0.2734,63.4,52.6,84.8,0.66,2.2,-10.9,0.96,0.6,小幅涨:近10日+2% | 回调至MA20(23.99):+0.8% | MACD红柱(已启动) | RSI14=59(正常区) | RSI6金叉RSI14 | KDJ金叉(K=63) | 乖离正常:BIAS20=0.8% | 量能健康(0.7xMA20)
688295,中复神鹰,2026-04-13,11.5,中回调,52.49,50.81,52.25,55.25,40.35,52.3,45.5,-1.4505,24.7,21.1,31.8,0.95,-7.4,16.6,4.11,3.3,强势:近20日+17% | 回调至MA20(55.25):-5.0% | RSI14=45(回升区) | RSI6金叉RSI14 | KDJ金叉(K=25) | 乖离正常:BIAS20=-5.0% | 量能健康(0.9xMA20) | 量开始放大
688583,思看科技,2026-04-13,11.5,中回调,122.84,121.38,120.66,120.51,127.42,63.3,63.1,0.7624,53.8,51.7,58.0,0.98,3.2,-7.6,6.13,1.2,小幅涨:近10日+3% | 回调至MA20(120.51):+1.9% | MACD红柱(已启动) | RSI14=63(正常区) | RSI6金叉RSI14 | KDJ金叉(K=54) | 乖离正常:BIAS20=1.9% | 量能健康(1.0xMA20)
000021,深科技,2026-04-13,11.0,中回调,28.25,27.58,26.87,28.63,29.89,95.5,48.9,0.0855,68.4,48.0,109.3,0.65,2.8,-8.6,1.27,2.4,小幅涨:近10日+3% | 回调至MA20(28.63):-1.3% | MACD红柱(已启动) | RSI14=49(回升区) | KDJ金叉(K=68) | 乖离正常:BIAS20=-1.3% | 量能健康(0.7xMA20)
001239,永达股份,2026-04-13,11.0,中回调,15.36,15.18,15.12,15.27,16.11,55.5,59.4,0.0684,60.0,55.8,68.5,0.91,7.5,-4.2,0.65,1.2,上涨:近10日+7% | 回调至MA20(15.27):+0.6% | MACD红柱(已启动) | RSI14=59(正常区) | KDJ金叉(K=60) | 乖离正常:BIAS20=0.6% | 量能健康(0.9xMA20) | 量开始放大
002309,中利集团,2026-04-13,11.0,轻回调,4.45,4.77,4.81,4.44,3.62,26.5,53.1,-0.0514,40.2,55.7,9.2,0.75,2.8,28.2,0.47,-6.8,强势:近20日+28% | 回调至MA10下:-7.5% | MACD绿柱(-0.0514) | RSI14=53(回升区) | KDJ超卖J=9 | 乖离正常:BIAS20=0.3% | 量能健康(0.7xMA20)
002310,东方新能,2026-04-13,11.0,中回调,3.17,3.14,3.19,3.31,2.69,59.7,35.3,-0.0703,27.6,27.5,27.8,0.51,-17.4,16.5,0.32,1.1,强势:近20日+17% | 回调至MA20(3.31):-4.2% | MACD绿柱(-0.0703) | RSI14=35(回升区) | KDJ金叉(K=28) | 乖离正常:BIAS20=-4.2% | 量能健康(0.5xMA20)
002427,尤夫股份,2026-04-13,11.0,中回调,6.51,6.46,6.24,6.58,7.13,67.9,54.4,0.0568,64.9,50.2,94.3,1.01,3.2,-6.9,0.31,0.8,小幅涨:近10日+3% | 回调至MA20(6.58):-1.1% | MACD红柱(已启动) | RSI14=54(回升区) | KDJ金叉(K=65) | 乖离正常:BIAS20=-1.1% | 量能健康(1.0xMA20)
002686,亿利达,2026-04-13,11.0,轻回调,6.89,7.29,7.26,7.16,6.95,43.0,48.6,-0.0175,42.5,57.3,13.0,1.1,5.0,-1.7,0.41,-5.4,小幅涨:近10日+5% | 回调至MA10下:-5.0% | MACD绿柱收窄(-0.0175) | RSI14=49(回升区) | KDJ超卖J=13 | 乖离正常:BIAS20=-3.7% | 量能健康(1.1xMA20)
002995,天地在线,2026-04-13,11.0,中回调,24.16,24.1,23.69,24.04,25.19,58.6,52.4,0.1869,65.0,58.1,78.8,0.56,2.2,7.3,1.67,0.3,小幅涨:近10日+2% | 回调至MA20(24.04):+0.5% | MACD红柱(已启动) | RSI14=52(回升区) | KDJ金叉(K=65) | 乖离正常:BIAS20=0.5% | 量能健康(0.6xMA20)
300102,乾照光电,2026-04-13,11.0,中回调,31.51,31.07,31.14,31.39,35.04,57.9,46.5,0.1769,39.2,35.2,47.4,0.67,4.0,-3.2,1.77,1.4,小幅涨:近10日+4% | 回调至MA20(31.39):+0.4% | MACD红柱(已启动) | RSI14=47(回升区) | KDJ金叉(K=39) | 乖离正常:BIAS20=0.4% | 量能健康(0.7xMA20)
300099,尤洛卡,2026-04-13,11.0,中回调,8.7,8.63,8.52,8.83,8.63,53.8,52.7,-0.0225,43.0,36.0,56.9,0.59,2.6,-6.4,0.49,0.8,小幅涨:近10日+3% | 回调至MA20(8.83):-1.4% | MACD绿柱收窄(-0.0225) | RSI14=53(回升区) | KDJ金叉(K=43) | 乖离正常:BIAS20=-1.4% | 量能健康(0.6xMA20)
300249,依米康,2026-04-13,11.0,中回调,17.26,16.67,16.36,16.86,16.8,83.8,54.3,0.0449,68.2,50.5,103.6,0.86,5.4,-1.0,1.0,3.6,小幅涨:近10日+5% | 回调至MA20(16.86):+2.4% | MACD红柱(已启动) | RSI14=54(回升区) | KDJ金叉(K=68) | 乖离正常:BIAS20=2.4% | 量能健康(0.9xMA20)
300319,麦捷科技,2026-04-13,11.0,中回调,12.21,11.75,11.46,12.01,12.63,89.7,56.0,0.0666,68.9,49.5,107.9,0.99,6.4,-9.1,0.47,3.9,上涨:近10日+6% | 回调至MA20(12.01):+1.6% | MACD红柱(已启动) | RSI14=56(正常区) | KDJ金叉(K=69) | 乖离正常:BIAS20=1.6% | 量能健康(1.0xMA20) | 量开始放大
300383,光环新网,2026-04-13,11.0,布林撑,17.6,17.29,17.2,16.75,16.05,68.7,61.1,0.0364,56.7,55.4,59.1,0.74,1.6,16.0,1.26,1.8,强势:近20日+16% | 布林下轨(14.81)获撑 | MACD红柱(已启动) | RSI14=61(正常区) | RSI6金叉RSI14 | KDJ金叉(K=57) | 量能健康(0.7xMA20)
300443,金雷股份,2026-04-13,11.0,中回调,30.06,28.85,28.58,29.72,29.09,75.5,48.1,-0.0222,60.2,41.4,97.8,0.66,2.4,-8.5,1.73,4.2,小幅涨:近10日+2% | 回调至MA20(29.72):+1.1% | MACD绿柱收窄(-0.0222) | RSI14=48(回升区) | KDJ金叉(K=60) | 乖离正常:BIAS20=1.1% | 量能健康(0.7xMA20)
300773,拉卡拉,2026-04-13,11.0,中回调,24.76,24.48,23.74,24.43,26.71,70.9,54.1,0.2265,59.0,49.4,78.4,1.18,3.7,-8.4,1.2,1.1,小幅涨:近10日+4% | 回调至MA20(24.43):+1.3% | MACD红柱(已启动) | RSI14=54(回升区) | KDJ金叉(K=59) | 乖离正常:BIAS20=1.3% | 量能健康(1.2xMA20)
300981,中红医疗,2026-04-13,11.0,中回调,14.64,14.52,14.13,14.45,13.57,58.6,57.5,-0.0021,50.5,49.5,52.3,1.23,10.1,-7.2,0.98,0.8,上涨:近10日+10% | 回调至MA20(14.45):+1.3% | MACD绿柱收窄(-0.0021) | RSI14=57(正常区) | KDJ金叉(K=50) | 乖离正常:BIAS20=1.3% | 量能健康(1.2xMA20) | 量开始放大
600231,凌钢股份,2026-04-13,11.0,中回调,2.08,2.06,2.06,2.08,2.23,65.0,64.8,0.0104,65.7,57.7,81.6,0.3,2.5,-13.7,0.07,0.8,小幅涨:近10日+2% | 回调至MA20(2.08):+0.0% | MACD红柱(已启动) | RSI14=65(正常区) | RSI6金叉RSI14 | KDJ金叉(K=66) | 乖离正常:BIAS20=0.0%
600249,两面针,2026-04-13,11.0,轻回调,6.05,6.29,6.44,6.14,6.0,9.0,50.8,-0.0111,28.5,43.3,-1.1,0.83,5.0,4.0,0.42,-3.8,小幅涨:近10日+5% | 回调至MA10下:-6.0% | MACD绿柱收窄(-0.0111) | RSI14=51(回升区) | KDJ超卖J=-1 | 乖离正常:BIAS20=-1.5% | 量能健康(0.8xMA20)
688416,恒烁股份,2026-04-13,11.0,中回调,77.35,75.99,73.85,79.53,87.08,91.8,52.5,0.4758,63.1,46.6,96.3,0.67,3.7,-14.2,4.24,1.8,小幅涨:近10日+4% | 回调至MA20(79.53):-2.7% | MACD红柱(已启动) | RSI14=52(回升区) | KDJ金叉(K=63) | 乖离正常:BIAS20=-2.7% | 量能健康(0.7xMA20)
688480,赛恩斯,2026-04-13,11.0,中回调,85.49,85.18,82.74,85.77,91.44,61.5,50.3,0.4183,53.8,42.0,77.4,0.92,4.4,-19.8,6.35,0.4,小幅涨:近10日+4% | 回调至MA20(85.77):-0.3% | MACD红柱(已启动) | RSI14=50(回升区) | KDJ金叉(K=54) | 乖离正常:BIAS20=-0.3% | 量能健康(0.9xMA20)
688513,苑东生物,2026-04-13,11.0,轻回调,67.6,71.83,72.0,66.46,62.88,16.1,63.6,0.086,43.2,60.2,9.3,1.06,1.8,17.8,5.44,-5.9,强势:近20日+18% | 回调至MA10下:-6.1% | MACD红柱(已启动) | RSI14=64(正常区) | KDJ超卖J=9 | 乖离正常:BIAS20=1.7% | 量能健康(1.1xMA20)
688766,普冉股份,2026-04-13,11.0,中回调,252.78,243.13,236.11,250.57,246.5,83.9,41.3,0.475,66.4,47.9,103.3,0.78,5.3,3.6,17.23,4.0,小幅涨:近10日+5% | 回调至MA20(250.57):+0.9% | MACD红柱(已启动) | RSI14=41(回升区) | KDJ金叉(K=66) | 乖离正常:BIAS20=0.9% | 量能健康(0.8xMA20)
000066,中国长城,2026-04-13,10.5,中回调,15.39,14.92,14.77,15.11,16.03,80.0,63.4,0.0661,56.6,40.1,89.5,1.29,2.1,-6.2,0.58,3.2,小幅涨:近10日+2% | 回调至MA20(15.11):+1.8% | MACD红柱(已启动) | RSI14=63(正常区) | KDJ金叉(K=57) | 乖离正常:BIAS20=1.8% | 量能健康(1.3xMA20) | 量开始放大
000617,中油资本,2026-04-13,10.5,中回调,10.08,10.53,10.36,10.32,9.55,52.6,48.9,-0.054,31.0,41.2,10.7,0.56,-5.3,13.5,0.74,-4.3,强势:近20日+14% | 回调至MA20(10.32):-2.3% | MACD绿柱(-0.0540) | RSI14=49(回升区) | KDJ超卖J=11 | 乖离正常:BIAS20=-2.3% | 量能健康(0.6xMA20)
000672,上峰水泥,2026-04-13,10.5,中回调,13.12,13.24,13.08,13.06,13.8,55.0,63.1,0.0896,64.7,61.2,71.7,0.88,3.7,-5.9,0.41,-0.9,小幅涨:近10日+4% | 回调至MA20(13.06):+0.5% | MACD红柱(已启动) | RSI14=63(正常区) | KDJ金叉(K=65) | 乖离正常:BIAS20=0.5% | 量能健康(0.9xMA20) | 量开始放大
001278,一彬科技,2026-04-13,10.5,中回调,21.69,21.6,21.33,21.48,22.55,66.9,66.7,0.1235,68.5,62.0,81.4,0.52,3.7,-5.8,1.0,0.4,小幅涨:近10日+4% | 回调至MA20(21.48):+1.0% | MACD红柱(已启动) | RSI6金叉RSI14 | KDJ金叉(K=69) | 乖离正常:BIAS20=1.0% | 量能健康(0.5xMA20)
001282,三联锻造,2026-04-13,10.5,中回调,20.96,20.68,20.15,20.42,21.63,64.7,63.6,0.2139,59.8,51.6,76.3,1.67,5.6,-7.7,0.84,1.4,小幅涨:近10日+6% | 回调至MA20(20.42):+2.7% | MACD红柱(已启动) | RSI14=64(正常区) | KDJ金叉(K=60) | 乖离正常:BIAS20=2.7% | 量能健康(1.7xMA20) | 量开始放大
001319,铭科精技,2026-04-13,10.5,中回调,25.08,24.85,24.65,24.83,27.48,61.2,61.7,0.2204,58.0,52.4,69.3,1.16,2.9,-4.1,0.71,0.9,小幅涨:近10日+3% | 回调至MA20(24.83):+1.0% | MACD红柱(已启动) | RSI14=62(正常区) | KDJ金叉(K=58) | 乖离正常:BIAS20=1.0% | 量能健康(1.2xMA20) | 量开始放大
001337,四川黄金,2026-04-13,10.5,中回调,48.95,49.43,48.98,49.05,49.51,56.9,60.6,0.1236,55.8,55.1,57.1,0.56,6.3,-8.9,2.48,-1.0,上涨:近10日+6% | 回调至MA20(49.05):-0.2% | MACD红柱(已启动) | RSI14=61(正常区) | KDJ金叉(K=56) | 乖离正常:BIAS20=-0.2% | 量能健康(0.6xMA20)
002046,国机精工,2026-04-13,10.5,中回调,46.26,45.64,44.56,44.92,47.08,71.6,64.5,0.4045,68.6,57.2,91.5,1.2,7.1,-2.0,1.86,1.3,上涨:近10日+7% | 回调至MA20(44.92):+3.0% | MACD红柱(已启动) | RSI14=65(正常区) | KDJ金叉(K=69) | 乖离正常:BIAS20=3.0% | 量能健康(1.2xMA20)
002157,正邦科技,2026-04-13,10.5,中回调,3.17,3.1,3.07,3.14,3.21,65.5,62.3,0.0066,65.1,50.9,93.4,1.51,2.6,-5.1,0.09,2.4,小幅涨:近10日+3% | 回调至MA20(3.14):+1.1% | MACD红柱(已启动) | RSI14=62(正常区) | KDJ金叉(K=65) | 乖离正常:BIAS20=1.1% | 量能健康(1.5xMA20) | 量开始放大
002177,御银股份,2026-04-13,10.5,中回调,8.02,7.73,7.56,7.84,8.27,76.1,59.2,0.057,66.6,49.0,101.8,1.81,4.7,-11.6,0.38,3.7,小幅涨:近10日+5% | 回调至MA20(7.84):+2.3% | MACD红柱(已启动) | RSI14=59(正常区) | KDJ金叉(K=67) | 乖离正常:BIAS20=2.3% | 量能健康(1.8xMA20) | 量开始放大
002268,电科网安,2026-04-13,10.5,中回调,17.26,16.8,16.71,17.16,19.14,73.2,60.3,0.1107,68.0,48.4,107.3,1.12,2.4,-10.0,0.47,2.7,小幅涨:近10日+2% | 回调至MA20(17.16):+0.6% | MACD红柱(已启动) | RSI14=60(正常区) | KDJ金叉(K=68) | 乖离正常:BIAS20=0.6% | 量能健康(1.1xMA20) | 量开始放大
002380,科远智慧,2026-04-13,10.5,中回调,33.74,33.11,32.06,32.9,32.81,71.7,60.7,0.1864,67.0,53.1,94.9,1.55,5.1,-10.4,1.44,1.9,小幅涨:近10日+5% | 回调至MA20(32.90):+2.6% | MACD红柱(已启动) | RSI14=61(正常区) | KDJ金叉(K=67) | 乖离正常:BIAS20=2.6% | 量能健康(1.5xMA20) | 量开始放大
002518,科士达,2026-04-13,10.5,中回调,47.61,46.61,45.86,46.28,52.29,80.2,62.9,0.5063,67.8,56.9,89.7,1.49,2.9,-11.3,1.8,2.2,小幅涨:近10日+3% | 回调至MA20(46.28):+2.9% | MACD红柱(已启动) | RSI14=63(正常区) | KDJ金叉(K=68) | 乖离正常:BIAS20=2.9% | 量能健康(1.5xMA20) | 量开始放大
002785,万里石,2026-04-13,10.5,中回调,39.83,39.58,39.03,39.52,42.38,62.7,64.2,0.2788,68.0,59.7,84.5,1.07,3.0,-10.1,1.48,0.6,小幅涨:近10日+3% | 回调至MA20(39.52):+0.8% | MACD红柱(已启动) | RSI14=64(正常区) | KDJ金叉(K=68) | 乖离正常:BIAS20=0.8% | 量能健康(1.1xMA20) | 量开始放大
002788,鹭燕医药,2026-04-13,10.5,轻回调,14.62,16.82,16.64,15.22,16.47,33.2,56.6,0.0798,37.5,57.6,-2.9,1.12,6.6,0.8,1.53,-13.1,上涨:近10日+7% | 回调至MA10下:-12.1% | MACD红柱(已启动) | RSI14=57(正常区) | KDJ超卖J=-3 | 乖离正常:BIAS20=-4.0% | 量能健康(1.1xMA20)
002866,传艺科技,2026-04-13,10.5,布林撑,22.75,21.96,21.7,21.11,19.91,71.5,67.7,0.1013,68.1,57.6,89.0,1.45,6.5,15.2,1.13,3.6,强势:近20日+15% | 布林下轨(19.31)获撑 | MACD红柱(已启动) | RSI6金叉RSI14 | KDJ金叉(K=68) | 量能健康(1.4xMA20) | 量开始放大
002879,长缆科技,2026-04-13,10.5,中回调,20.75,20.53,20.48,20.67,21.64,49.0,60.6,0.0574,43.6,38.3,54.1,1.02,2.7,-10.1,0.77,1.1,小幅涨:近10日+3% | 回调至MA20(20.67):+0.4% | MACD红柱(已启动) | RSI14=61(正常区) | KDJ金叉(K=44) | 乖离正常:BIAS20=0.4% | 量能健康(1.0xMA20) | 量开始放大
002951,金时科技,2026-04-13,10.5,中回调,14.98,14.72,14.5,14.88,14.97,62.5,55.7,0.0336,55.7,44.5,78.3,0.61,2.9,-9.4,0.64,1.7,小幅涨:近10日+3% | 回调至MA20(14.88):+0.6% | MACD红柱(已启动) | RSI14=56(正常区) | KDJ金叉(K=56) | 乖离正常:BIAS20=0.6% | 量能健康(0.6xMA20) | 量开始放大
002983,芯瑞达,2026-04-13,10.5,中回调,23.77,23.27,22.62,23.19,24.24,75.6,61.5,0.2032,60.5,48.1,85.4,1.16,5.2,-7.3,0.85,2.2,小幅涨:近10日+5% | 回调至MA20(23.19):+2.5% | MACD红柱(已启动) | RSI14=61(正常区) | KDJ金叉(K=61) | 乖离正常:BIAS20=2.5% | 量能健康(1.2xMA20) | 量开始放大
003008,开普检测,2026-04-13,10.5,中回调,23.29,23.04,22.84,22.84,23.47,58.8,64.7,0.1193,67.4,63.2,75.8,1.3,3.6,-3.2,0.88,1.1,小幅涨:近10日+4% | 回调至MA20(22.84):+2.0% | MACD红柱(已启动) | RSI14=65(正常区) | KDJ金叉(K=67) | 乖离正常:BIAS20=2.0% | 量能健康(1.3xMA20) | 量开始放大
002986,宇新股份,2026-04-13,10.5,中回调,15.26,15.6,15.19,15.1,13.89,65.7,60.2,-0.0059,64.9,63.2,68.2,1.45,3.5,-6.8,0.74,-2.2,小幅涨:近10日+3% | 回调至MA20(15.10):+1.1% | MACD绿柱收窄(-0.0059) | RSI14=60(正常区) | KDJ金叉(K=65) | 乖离正常:BIAS20=1.1% | 量能健康(1.5xMA20) | 量开始放大
300017,网宿科技,2026-04-13,10.5,布林撑,18.16,17.67,17.36,17.46,16.9,70.6,58.4,0.0583,67.9,53.2,97.4,1.16,4.2,2.3,1.15,2.8,小幅涨:近10日+4% | 布林下轨(16.02)获撑 | MACD红柱(已启动) | RSI14=58(正常区) | RSI6金叉RSI14 | KDJ金叉(K=68) | 量能健康(1.2xMA20) | 量开始放大
300053,航宇微,2026-04-13,10.5,中回调,17.78,17.44,17.05,17.29,19.67,80.1,59.0,0.219,66.1,51.9,94.6,0.79,6.8,1.5,0.84,1.9,上涨:近10日+7% | 回调至MA20(17.29):+2.9% | MACD红柱(已启动) | RSI14=59(正常区) | KDJ金叉(K=66) | 乖离正常:BIAS20=2.9% | 量能健康(0.8xMA20)
300219,鸿利智汇,2026-04-13,10.5,中回调,7.55,7.47,7.32,7.5,7.68,77.8,56.9,0.0355,65.9,54.5,88.8,0.76,3.3,-9.8,0.3,1.0,小幅涨:近10日+3% | 回调至MA20(7.50):+0.7% | MACD红柱(已启动) | RSI14=57(正常区) | KDJ金叉(K=66) | 乖离正常:BIAS20=0.7% | 量能健康(0.8xMA20) | 量开始放大
300228,富瑞特装,2026-04-13,10.5,中回调,9.43,9.34,9.29,9.44,10.27,55.1,58.7,0.0488,67.1,52.8,95.8,1.12,2.4,-12.3,0.29,0.9,小幅涨:近10日+2% | 回调至MA20(9.44):-0.1% | MACD红柱(已启动) | RSI14=59(正常区) | KDJ金叉(K=67) | 乖离正常:BIAS20=-0.1% | 量能健康(1.1xMA20) | 量开始放大
300254,仟源医药,2026-04-13,10.5,中回调,11.73,11.64,11.58,11.48,11.47,50.9,61.0,0.0424,67.3,64.1,73.9,1.49,4.8,-2.1,0.58,0.8,小幅涨:近10日+5% | 回调至MA20(11.48):+2.2% | MACD红柱(已启动) | RSI14=61(正常区) | KDJ金叉(K=67) | 乖离正常:BIAS20=2.2% | 量能健康(1.5xMA20) | 量开始放大
300300,海峡创新,2026-04-13,10.5,轻回调,13.44,13.68,13.92,13.29,13.1,31.5,56.6,-0.0051,36.0,47.9,12.2,1.04,5.7,2.0,1.08,-1.7,小幅涨:近10日+6% | 回调至MA10下:-3.4% | MACD绿柱收窄(-0.0051) | RSI14=57(正常区) | KDJ超卖J=12 | 乖离正常:BIAS20=1.1% | 量能健康(1.0xMA20) | 量开始放大
300471,厚普股份,2026-04-13,10.5,中回调,13.21,13.03,12.87,13.21,14.28,68.5,56.0,0.0639,64.9,50.1,94.4,0.7,2.3,-14.1,0.45,1.4,小幅涨:近10日+2% | 回调至MA20(13.21):+0.0% | MACD红柱(已启动) | RSI14=56(正常区) | KDJ金叉(K=65) | 乖离正常:BIAS20=0.0% | 量能健康(0.7xMA20) | 量开始放大
300491,通合科技,2026-04-13,10.5,中回调,25.3,24.51,23.82,24.58,26.96,85.5,55.2,0.2584,55.3,41.3,83.4,0.9,6.1,-11.5,1.13,3.2,上涨:近10日+6% | 回调至MA20(24.58):+2.9% | MACD红柱(已启动) | RSI14=55(正常区) | KDJ金叉(K=55) | 乖离正常:BIAS20=2.9% | 量能健康(0.9xMA20)
300564,筑博设计,2026-04-13,10.5,中回调,15.19,15.12,14.99,15.02,15.74,59.3,61.7,0.0666,49.8,48.2,53.1,0.81,2.2,-6.6,0.74,0.4,小幅涨:近10日+2% | 回调至MA20(15.02):+1.1% | MACD红柱(已启动) | RSI14=62(正常区) | KDJ金叉(K=50) | 乖离正常:BIAS20=1.1% | 量能健康(0.8xMA20) | 量开始放大
